TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
account_asset_balances	account_asset_balance_id	bigint	NO	NULL	PRI	auto_increment
account_asset_balances	account_id	bigint	NO	NULL	MUL	
account_asset_balances	asset_code	varchar(50)	NO	NULL	MUL	
account_asset_balances	available_amount	bigint	NO	0		
account_asset_balances	frozen_amount	bigint	NO	0		
account_asset_balances	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
account_asset_balances	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
account_asset_balances	lottery_campaign_id	varchar(50)	YES	NULL	MUL	
account_asset_balances	lottery_campaign_key	varchar(50)	NO	NULL		STORED GENERATED
accounts	account_id	bigint	NO	NULL	PRI	auto_increment
accounts	account_type	enum('user','system')	NO	NULL	MUL	
accounts	user_id	int	YES	NULL	UNI	
accounts	system_code	varchar(50)	YES	NULL	UNI	
accounts	status	enum('active','disabled')	NO	active		
accounts	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
accounts	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
ad_antifraud_logs	ad_antifraud_log_id	bigint	NO	NULL	PRI	auto_increment
ad_antifraud_logs	user_id	int	NO	NULL	MUL	
ad_antifraud_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_antifraud_logs	event_type	varchar(20)	NO	NULL		
ad_antifraud_logs	rule_triggered	varchar(50)	NO	NULL		
ad_antifraud_logs	verdict	varchar(20)	NO	NULL		
ad_antifraud_logs	raw_data	json	YES	NULL		
ad_antifraud_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_attribution_logs	ad_attribution_log_id	bigint	NO	NULL	PRI	auto_increment
ad_attribution_logs	ad_click_log_id	bigint	NO	NULL	MUL	
ad_attribution_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_attribution_logs	user_id	int	NO	NULL	MUL	
ad_attribution_logs	conversion_type	varchar(30)	NO	NULL	MUL	
ad_attribution_logs	conversion_entity_id	varchar(100)	YES	NULL		
ad_attribution_logs	click_at	datetime	NO	NULL	MUL	
ad_attribution_logs	conversion_at	datetime	NO	NULL		
ad_attribution_logs	attribution_window_hours	int	NO	24		
ad_attribution_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_bid_logs	ad_bid_log_id	bigint	NO	NULL	PRI	auto_increment
ad_bid_logs	ad_slot_id	int	NO	NULL	MUL	
ad_bid_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_bid_logs	bid_amount_star_stone	int	NO	NULL		
ad_bid_logs	is_winner	tinyint(1)	NO	NULL		
ad_bid_logs	target_user_id	int	NO	NULL	MUL	
ad_bid_logs	lose_reason	varchar(50)	YES	NULL		
ad_bid_logs	bid_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_billing_records	ad_billing_record_id	bigint	NO	NULL	PRI	auto_increment
ad_billing_records	business_id	varchar(100)	NO	NULL	UNI	
ad_billing_records	ad_campaign_id	int	NO	NULL	MUL	
ad_billing_records	advertiser_user_id	int	NO	NULL	MUL	
ad_billing_records	billing_date	date	NO	NULL	MUL	
ad_billing_records	amount_star_stone	int	NO	NULL		
ad_billing_records	billing_type	varchar(20)	NO	NULL	MUL	
ad_billing_records	asset_transaction_id	bigint	YES	NULL		
ad_billing_records	remark	varchar(200)	YES	NULL		
ad_billing_records	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_billing_records	billing_no	varchar(32)	NO	NULL	UNI	
ad_campaigns	ad_campaign_id	int	NO	NULL	PRI	auto_increment
ad_campaigns	business_id	varchar(100)	NO	NULL	UNI	
ad_campaigns	advertiser_user_id	int	YES	NULL	MUL	
ad_campaigns	ad_slot_id	int	NO	NULL	MUL	
ad_campaigns	campaign_name	varchar(100)	NO	NULL		
ad_campaigns	billing_mode	varchar(20)	NO	NULL	MUL	
ad_campaigns	status	varchar(20)	NO	draft	MUL	
ad_campaigns	daily_bid_star_stone	int	YES	NULL		
ad_campaigns	budget_total_star_stone	int	YES	NULL		
ad_campaigns	budget_spent_star_stone	int	NO	0		
ad_campaigns	fixed_days	int	YES	NULL		
ad_campaigns	fixed_total_star_stone	int	YES	NULL		
ad_campaigns	targeting_rules	json	YES	NULL		
ad_campaigns	priority	int	NO	50		
ad_campaigns	start_date	date	YES	NULL		
ad_campaigns	end_date	date	YES	NULL		
ad_campaigns	review_note	varchar(500)	YES	NULL		
ad_campaigns	reviewed_by	int	YES	NULL	MUL	
ad_campaigns	reviewed_at	datetime	YES	NULL		
ad_campaigns	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_campaigns	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_campaigns	campaign_category	varchar(20)	NO	commercial	MUL	
ad_campaigns	frequency_rule	varchar(30)	YES	once_per_day		
ad_campaigns	frequency_value	int	YES	1		
ad_campaigns	force_show	tinyint(1)	YES	0		
ad_campaigns	internal_notes	text	YES	NULL		
ad_campaigns	slide_interval_ms	int	YES	3000		
ad_click_logs	ad_click_log_id	bigint	NO	NULL	PRI	auto_increment
ad_click_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_click_logs	user_id	int	NO	NULL	MUL	
ad_click_logs	ad_slot_id	int	NO	NULL	MUL	
ad_click_logs	click_target	varchar(500)	YES	NULL		
ad_click_logs	is_valid	tinyint(1)	NO	1		
ad_click_logs	invalid_reason	varchar(50)	YES	NULL		
ad_click_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_creatives	ad_creative_id	int	NO	NULL	PRI	auto_increment
ad_creatives	ad_campaign_id	int	NO	NULL	MUL	
ad_creatives	title	varchar(100)	NO	NULL		
ad_creatives	link_url	varchar(500)	YES	NULL		
ad_creatives	link_type	varchar(20)	NO	none		
ad_creatives	review_status	varchar(20)	NO	pending	MUL	
ad_creatives	review_note	varchar(500)	YES	NULL		
ad_creatives	reviewed_by	int	YES	NULL	MUL	
ad_creatives	reviewed_at	datetime	YES	NULL		
ad_creatives	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_creatives	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_creatives	content_type	varchar(20)	NO	image		
ad_creatives	text_content	text	YES	NULL		
ad_creatives	display_mode	varchar(30)	YES	NULL		
ad_creatives	primary_media_id	bigint unsigned	YES	NULL	MUL	
ad_dau_daily_stats	ad_dau_daily_stat_id	bigint	NO	NULL	PRI	auto_increment
ad_dau_daily_stats	stat_date	date	NO	NULL	UNI	
ad_dau_daily_stats	dau_count	int	NO	0		
ad_dau_daily_stats	dau_coefficient	decimal(10,4)	YES	NULL		
ad_dau_daily_stats	source	varchar(50)	NO	last_active_at		
ad_dau_daily_stats	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_impression_logs	ad_impression_log_id	bigint	NO	NULL	PRI	auto_increment
ad_impression_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_impression_logs	user_id	int	NO	NULL	MUL	
ad_impression_logs	ad_slot_id	int	NO	NULL	MUL	
ad_impression_logs	is_valid	tinyint(1)	NO	1		
ad_impression_logs	invalid_reason	varchar(50)	YES	NULL		
ad_impression_logs	created_at	datetime	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
ad_interaction_logs	ad_interaction_log_id	bigint	NO	NULL	PRI	auto_increment
ad_interaction_logs	ad_campaign_id	int	NO	NULL	MUL	
ad_interaction_logs	user_id	int	NO	NULL	MUL	
ad_interaction_logs	ad_slot_id	int	YES	NULL	MUL	
ad_interaction_logs	interaction_type	varchar(20)	NO	NULL	MUL	
ad_interaction_logs	extra_data	json	YES	NULL		
ad_interaction_logs	created_at	datetime	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
ad_price_adjustment_logs	ad_price_adjustment_log_id	int	NO	NULL	PRI	auto_increment
ad_price_adjustment_logs	trigger_type	varchar(20)	NO	NULL		
ad_price_adjustment_logs	old_coefficient	decimal(10,4)	YES	NULL		
ad_price_adjustment_logs	new_coefficient	decimal(10,4)	YES	NULL		
ad_price_adjustment_logs	affected_slots	json	YES	NULL		
ad_price_adjustment_logs	status	varchar(20)	NO	pending		
ad_price_adjustment_logs	confirmed_by	int	YES	NULL		
ad_price_adjustment_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_price_adjustment_logs	applied_at	datetime	YES	NULL		
ad_report_daily_snapshots	snapshot_id	bigint	NO	NULL	PRI	auto_increment
ad_report_daily_snapshots	snapshot_date	date	NO	NULL	MUL	
ad_report_daily_snapshots	ad_campaign_id	int	NO	NULL	MUL	
ad_report_daily_snapshots	ad_slot_id	int	NO	NULL	MUL	
ad_report_daily_snapshots	impressions_total	int	NO	0		
ad_report_daily_snapshots	impressions_valid	int	NO	0		
ad_report_daily_snapshots	clicks_total	int	NO	0		
ad_report_daily_snapshots	clicks_valid	int	NO	0		
ad_report_daily_snapshots	conversions	int	NO	0		
ad_report_daily_snapshots	spend_star_stone	int	NO	0		
ad_report_daily_snapshots	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
ad_slots	ad_slot_id	int	NO	NULL	PRI	auto_increment
ad_slots	slot_key	varchar(50)	NO	NULL	UNI	
