TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	CREATE_TIME	UPDATE_TIME
account_asset_balances	InnoDB	37	16384	65536	664	2026-04-22 11:29:00	2026-07-15 21:27:35
accounts	InnoDB	29	16384	49152	678	2025-12-16 00:36:41	2026-07-15 21:27:20
ad_antifraud_logs	InnoDB	0	16384	32768	11	2026-02-18 21:57:51	NULL
ad_attribution_logs	InnoDB	0	16384	81920	6	2026-02-18 21:57:51	NULL
ad_bid_logs	InnoDB	288	16384	49152	563	2026-06-21 08:14:36	2026-07-15 21:01:20
ad_billing_records	InnoDB	0	16384	98304	1	2026-04-02 05:56:33	NULL
ad_campaigns	InnoDB	3	16384	114688	379	2026-06-21 20:20:07	2026-07-11 10:01:22
ad_click_logs	InnoDB	0	16384	49152	11	2026-02-18 21:57:51	NULL
ad_creatives	InnoDB	3	16384	65536	365	2026-06-24 07:44:37	2026-07-11 10:01:22
ad_dau_daily_stats	InnoDB	0	16384	16384	137	2026-03-02 07:12:30	2026-07-15 00:30:00
ad_impression_logs	InnoDB	0	16384	65536	17	2026-02-18 21:57:51	NULL
ad_interaction_logs	InnoDB	98	16384	81920	248	2026-02-22 12:12:49	2026-07-15 21:01:20
ad_price_adjustment_logs	InnoDB	0	16384	0	1	2026-03-02 07:17:12	NULL
ad_report_daily_snapshots	InnoDB	9	16384	49152	37	2026-04-02 05:56:33	2026-07-15 04:00:00
ad_slots	InnoDB	12	16384	32768	21	2026-06-21 20:20:05	NULL
ad_target_zones	InnoDB	1	16384	16384	4	2026-03-02 07:17:12	NULL
ad_zone_group_members	InnoDB	0	16384	32768	3	2026-03-02 07:17:12	NULL
ad_zone_groups	InnoDB	0	16384	0	2	2026-03-02 07:17:12	NULL
admin_notifications	InnoDB	1354	1589248	229376	74120	2026-02-01 15:58:13	2026-07-15 21:26:04
administrative_regions	InnoDB	44569	3686400	8454144	NULL	2026-01-12 08:17:42	NULL
alert_silence_rules	InnoDB	0	16384	0	1	2026-02-03 08:20:01	NULL
api_idempotency_requests	InnoDB	545	1458176	147456	4033322	2026-02-01 15:58:14	2026-07-15 21:27:35
approval_chain_instances	InnoDB	27	16384	98304	692	2026-03-10 08:15:30	2026-07-11 10:02:06
approval_chain_nodes	InnoDB	7	16384	65536	18	2026-06-20 20:20:10	NULL
approval_chain_step_actions	InnoDB	32	16384	32768	55	2026-06-20 09:01:57	NULL
approval_chain_steps	InnoDB	50	16384	114688	849	2026-06-20 20:20:10	2026-07-11 10:02:06
approval_chain_templates	InnoDB	4	16384	49152	11	2026-03-10 08:15:30	NULL
asset_conversion_rules	InnoDB	9	16384	49152	11	2026-04-06 06:46:55	NULL
asset_group_defs	InnoDB	10	16384	0	NULL	2026-01-15 06:13:46	2026-07-11 10:02:19
asset_transactions	InnoDB	5840	2637824	3964928	163206	2026-03-23 05:11:46	2026-07-15 21:27:35
attribute_options	InnoDB	0	16384	16384	1	2026-03-21 02:11:13	NULL
attributes	InnoDB	0	16384	16384	1	2026-03-21 02:11:13	NULL
authentication_sessions	InnoDB	138	16384	98304	22824	2026-07-11 07:48:21	2026-07-15 21:28:01
bid_products	InnoDB	0	16384	114688	5	2026-06-10 06:58:34	NULL
bid_records	InnoDB	0	16384	49152	1	2026-02-15 06:06:46	NULL
categories	InnoDB	33	16384	81920	298	2026-06-24 07:44:37	2026-07-11 10:02:18
category_attributes	InnoDB	0	16384	32768	1	2026-03-21 02:11:13	NULL
chat_messages	InnoDB	10	16384	98304	22850	2026-06-25 20:20:09	2026-07-11 10:02:25
consignment_orders	InnoDB	0	16384	49152	1	2026-07-06 00:46:48	NULL
consumption_bonus_rules	InnoDB	8	16384	16384	18	2026-07-15 03:44:08	2026-07-15 04:01:47
consumption_records	InnoDB	15	16384	245760	3230	2026-07-11 07:48:21	2026-07-11 10:02:06
content_review_records	InnoDB	27	16384	81920	6475	2026-02-01 15:58:13	2026-07-11 10:02:42
customer_service_agents	InnoDB	0	16384	49152	6	2026-02-20 11:58:00	NULL
customer_service_issues	InnoDB	0	16384	163840	168	2026-06-05 13:08:45	NULL
customer_service_notes	InnoDB	0	16384	65536	3	2026-02-22 16:34:20	NULL
customer_service_sessions	InnoDB	4	16384	147456	2228	2026-02-22 20:20:05	2026-07-11 10:02:25
customer_service_user_assignments	InnoDB	0	16384	65536	5	2026-02-20 11:58:00	NULL
decoration_season	InnoDB	0	16384	0	1	2026-06-08 01:16:56	NULL
decoration_sku	InnoDB	1	16384	49152	2	2026-06-08 01:16:56	NULL
diy_materials	InnoDB	30	16384	114688	163	2026-07-10 20:20:25	2026-07-15 21:26:21
diy_templates	InnoDB	7	16384	114688	145	2026-06-24 07:44:37	2026-07-15 21:26:23
diy_works	InnoDB	0	16384	98304	166	2026-06-24 07:44:37	2026-07-15 21:26:22
event_budget_collection_rules	InnoDB	0	16384	32768	89	2026-07-06 02:56:35	NULL
exchange_channel_prices	InnoDB	2	16384	32768	575	2026-03-22 10:59:34	2026-07-15 21:26:04
exchange_item_attribute_values	InnoDB	0	16384	32768	1	2026-03-22 10:59:34	NULL
exchange_item_skus	InnoDB	3	16384	65536	573	2026-07-06 20:20:20	2026-07-15 21:26:04
exchange_item_suppliers	InnoDB	0	16384	49152	17	2026-07-06 00:46:48	2026-07-15 21:25:25
exchange_items	InnoDB	3	16384	163840	843	2026-07-06 00:46:48	2026-07-15 21:27:37
exchange_order_events	InnoDB	29	16384	65536	1105	2026-03-23 06:07:09	2026-07-15 21:26:04
exchange_records	InnoDB	83	81920	229376	1518	2026-04-08 05:42:12	2026-07-15 21:27:03
exchange_redeem_requirement	InnoDB	0	16384	32768	1	2026-07-10 20:20:25	NULL
external_channel_mappings	InnoDB	0	16384	32768	20	2026-07-11 20:20:14	2026-07-15 21:25:25
feature_flags	InnoDB	8	16384	49152	3628	2026-02-01 15:58:13	2026-07-11 10:01:42
feedbacks	InnoDB	36	16384	65536	431	2025-11-09 20:24:32	2026-07-11 10:01:54
item_holds	InnoDB	35	16384	49152	2724	2026-03-21 02:11:14	2026-07-15 21:27:05
item_ledger	InnoDB	122	65536	98304	32483	2026-02-22 19:21:06	2026-07-15 21:27:57
item_templates	InnoDB	34	16384	114688	281	2026-06-24 07:44:37	2026-07-15 21:27:42
items	InnoDB	193	49152	180224	45860	2026-07-06 00:46:48	2026-07-15 21:27:57
lottery_alerts	InnoDB	20	16384	81920	438	2026-02-21 00:42:35	2026-07-15 21:28:00
lottery_campaign_pricing_config	InnoDB	14	16384	114688	NULL	2026-02-01 15:58:14	NULL
lottery_campaign_prizes	InnoDB	12	16384	65536	13	2026-05-26 03:49:22	2026-07-15 21:27:35
